"formulaRank"	"molecularFormula"	"adduct"	"precursorFormula"	"NPC#pathway"	"NPC#pathway Probability"	"NPC#superclass"	"NPC#superclass Probability"	"NPC#class"	"NPC#class Probability"	"ClassyFire#superclass"	"ClassyFire#superclass probability"	"ClassyFire#class"	"ClassyFire#class Probability"	"ClassyFire#subclass"	"ClassyFire#subclass Probability"	"ClassyFire#level 5"	"ClassyFire#level 5 Probability"	"ClassyFire#most specific class"	"ClassyFire#most specific class Probability"	"ClassyFire#all classifications"	"ionMass"	"retentionTimeInSeconds"	"retentionTimeInMinutes"	"formulaId"	"alignedFeatureId"	"mappingFeatureId"	"overallFeatureQuality"
1	"C14H12O6"	"[M - H2O + H]+"	"C14H11O5+"	"Shikimates and Phenylpropanoids"	0.996	"Flavonoids"	0.986	"Dihydroflavonols"	0.999	"Phenylpropanoids and polyketides"	0.966	"Flavonoids"	0.958	"Flavans"	0.975	"Flavanones"	0.970	"Flavanonols"	0.992	"Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Flavanonols; Flavanones; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	259.060	727	12.113	"673187598864892753"	"673151021614590326"	"989"	
1	"C13H14O8"	"[M - H2O + H]+"	"C13H13O7+"	"Polyketides"	0.729	"Flavonoids"	0.543	"Acyl phloroglucinols"	0.371	"Organoheterocyclic compounds"	0.925	"Benzopyrans"	0.594					"Benzopyrans"	0.594	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Benzopyrans; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Polyols; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	281.065	727	12.113	"673187618724922623"	"673151021648144763"	"990"	
1	"C15H12O7"	"[M - H2O + H]+"	"C15H11O6+"	"Shikimates and Phenylpropanoids"	1.000	"Flavonoids"	0.993	"Dihydroflavonols"	1.000	"Phenylpropanoids and polyketides"	0.998	"Flavonoids"	0.993	"Flavans"	0.995	"Flavanones"	0.995	"Flavanonols"	0.997	"Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Flavanonols; Flavanones; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	287.055	727	12.113	"673187698722884783"	"673151021677504896"	"991"	
1	"C12H22O9"	"[M - H2O + H]+"	"C12H21O8+"	"Carbohydrates"	0.974	"Saccharides"	0.985	"Disaccharides"	0.934	"Lipids and lipid-like molecules"	0.727	"Fatty Acyls"	0.770	"Fatty acyl glycosides"	0.647	"Alkyl glycosides"	0.576	"Alkyl glycosides"	0.576	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Aldehydes; Alcohols and polyols; Ethers; Organooxygen compounds; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Beta-hydroxy aldehydes; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	293.123	727	12.113	"673187640245897046"	"673151021702670725"	"992"	
2	"C13H16O9"	"[M - H2O + H]+"	"C13H15O8+"	"Shikimates and Phenylpropanoids"	0.759	"Coumarins"	0.307	"Acyl phloroglucinols"	0.545	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.938	"Monosaccharides"	0.872	"Hexoses"	0.504	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Organooxygen compounds; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	299.076	727	12.113	"673187683669527000"	"673151021732030858"	"993"	
1	"C11H13N3O6"	"[M + Na]+"	"C11H13N3NaO6+"	"Shikimates and Phenylpropanoids"	0.375	"Flavonoids"	0.547	"Flavan-3-ols"	0.139	"Organoheterocyclic compounds"	0.894	"Benzopyrans"	0.772	"1-benzopyrans"	0.716			"1-benzopyrans"	0.716	"Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Pyrogallols and derivatives; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 1-benzopyrans; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	306.069	727	12.113	"673187377363692376"	"673151021794945428"	"995"	
1	"C21H20O10"	"[M - H2O + H]+"	"C21H19O9+"	"Shikimates and Phenylpropanoids"	0.999	"Flavonoids"	0.988	"Dihydroflavonols"	0.997	"Phenylpropanoids and polyketides"	0.997	"Flavonoids"	0.996	"Flavonoid glycosides"	0.923	"Flavonoid O-glycosides"	0.899	"Flavonoid-3-O-glycosides"	0.894	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Flavonoid glycosides; Benzenediols; Flavanonols; Monosaccharides; Flavonoid O-glycosides; Flavanones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	415.102	727	12.113	"673187477699836090"	"673151021820111257"	"996"	
6	"C23H23N3O6S"	"[M - H2O + H]+"	"C23H22N3O5S+"	"Alkaloids"	0.385	"Tryptophan alkaloids"	0.103	"Cyclamides"	0.107	"Benzenoids"	0.982	"Benzene and substituted derivatives"	0.900	"Benzenesulfonamides"	0.621			"Benzenesulfonamides"	0.621	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Sulfonyls; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	452.127	727	12.113	"673187389548145890"	"673151021908191656"	"999"	
2	"C17H14O8"	"[M + H]+"	"C17H15O8+"	"Shikimates and Phenylpropanoids"	1.000	"Flavonoids"	0.998	"Dihydroflavonols"	1.000	"Phenylpropanoids and polyketides"	1.000	"Flavonoids"	0.999	"Flavans"	0.999	"Flavanones"	0.998	"Flavanonols"	0.999	"Organic compounds; Organoheterocyclic compounds; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Flavanonols; Flavanones; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3-hydroxyflavonoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	347.076	728	12.128	"673187413195632444"	"673151021937551789"	"1000"	
1	"C27H32O15"	"[M + H]+"	"C27H33O15+"	"Shikimates and Phenylpropanoids"	1.000	"Flavonoids"	0.999	"Flavanones"	0.973	"Phenylpropanoids and polyketides"	0.999	"Flavonoids"	0.999	"Flavonoid glycosides"	0.996	"Flavonoid O-glycosides"	0.991	"Flavonoid-7-O-glycosides"	0.939	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Flavonoid glycosides; Benzenediols; Disaccharides; Flavonoid O-glycosides; Flavanones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 1-benzopyrans; Flavonoid-7-O-glycosides; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	597.181	728	12.128	"673187917262913914"	"673151021966911922"	"1001"	
1	"C31H44O19"	"[M + Na]+"	"C31H44NaO19+"	"Shikimates and Phenylpropanoids"	0.951	"Flavonoids"	0.971	"Flavanones"	0.662	"Phenylpropanoids and polyketides"	0.811	"Flavonoids"	0.944	"Flavonoid glycosides"	0.951	"Flavonoid O-glycosides"	0.944	"Flavonoid-7-O-glycosides"	0.695	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Chromones; Methoxyphenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Flavonoid glycosides; Carboxylic acid esters; Disaccharides; Flavonoid O-glycosides; Flavanones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; O-methylated flavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 1-benzopyrans; Flavonoid-7-O-glycosides; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Fatty Acyls; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	743.238	728	12.128	"673187742305901671"	"673151021992077751"	"1002"	
1	"C18H24O11"	"[M - H2O + H]+"	"C18H23O10+"	"Shikimates and Phenylpropanoids"	0.668	"Monoterpenoids"	0.327	"Secoiridoid monoterpenoids"	0.321	"Benzenoids"	0.671	"Phenol ethers"	0.533					"Phenol ethers"	0.533	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	399.128	728	12.130	"673187437375796256"	"673151022046603713"	"1007"	
6	"C30H28N2O4"	"[M + H3N + H]+"	"C30H32N3O4+"	"Alkaloids"	0.829	"Tryptophan alkaloids"	0.349	"Isoquinoline alkaloids"	0.170	"Organic nitrogen compounds"	0.999	"Organonitrogen compounds"	0.999	"Amines"	0.496	"Aralkylamines"	0.590	"Aralkylamines"	0.590	"Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	498.236	729	12.148	"673187445462414661"	"673151022075963846"	"1008"	
6	"C23H36O14"	"[M + Na]+"	"C23H36NaO14+"	"Polyketides"	0.317	"Phloroglucinols"	0.322	"Acyl phloroglucinols"	0.260	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	1.000	"Carbohydrates and carbohydrate conjugates"	0.987	"Glycosyl compounds"	0.933	"O-glycosyl compounds"	0.833	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities"	559.202	729	12.154	"673187458934519692"	"673151022101129675"	"1009"	
1	"C21H22O11"	"[M + H]+"	"C21H23O11+"	"Shikimates and Phenylpropanoids"	1.000	"Flavonoids"	0.999	"Dihydroflavonols"	0.999	"Phenylpropanoids and polyketides"	1.000	"Flavonoids"	0.999	"Flavonoid glycosides"	0.993	"Flavonoid O-glycosides"	0.988	"Flavonoid-3-O-glycosides"	0.971	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Flavans; Flavonoid glycosides; Benzenediols; Flavanonols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavanones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	451.123	730	12.163	"673187479578884336"	"673151021878831523"	"998"	
1	"C21H24O9"	"[M - H2O + H]+"	"C21H23O8+"	"Shikimates and Phenylpropanoids"	0.987	"Flavonoids"	0.989	"Chalcones"	0.955	"Phenylpropanoids and polyketides"	0.962	"Flavonoids"	0.938	"Flavonoid glycosides"	0.963	"Flavonoid O-glycosides"	0.977	"Flavonoid O-glycosides"	0.977	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Aldehydes; Alcohols and polyols; Phenols; Resorcinols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Flavonoids; Butyrophenones; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Chalcones and dihydrochalcones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	403.138	730	12.172	"673187582733598879"	"673151022130489808"	"1010"	
1	"C21H24O9"	"[M + H]+"	"C21H25O9+"	"Shikimates and Phenylpropanoids"	0.986	"Flavonoids"	0.992	"Chalcones"	0.959	"Phenylpropanoids and polyketides"	0.969	"Flavonoids"	0.942	"Flavonoid glycosides"	0.965	"Flavonoid O-glycosides"	0.974	"Flavonoid O-glycosides"	0.974	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Aldehydes; Alcohols and polyols; Phenols; Resorcinols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Flavonoids; Butyrophenones; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Chalcones and dihydrochalcones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	421.149	730	12.172	"673187532527778825"	"673151022155655637"	"1011"	
1	"C27H34O14"	"[M + H]+"	"C27H35O14+"	"Shikimates and Phenylpropanoids"	0.984	"Flavonoids"	0.996	"Chalcones"	0.991	"Phenylpropanoids and polyketides"	0.982	"Flavonoids"	0.825	"Flavonoid glycosides"	0.923	"Flavonoid O-glycosides"	0.834	"Flavonoid O-glycosides"	0.834	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Ketones; Alcohols and polyols; Phenols; Resorcinols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Flavonoids; Butyrophenones; Flavonoid glycosides; Dialkyl ethers; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Chalcones and dihydrochalcones; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; C-glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Acylphloroglucinols and derivatives; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	583.202	730	12.172	"673187707476398986"	"673151022185015770"	"1012"	
1	"C15H20O3"	"[M - H2O + H]+"	"C15H19O2+"	"Terpenoids"	0.998	"Sesquiterpenoids"	0.984	"Eudesmane sesquiterpenoids"	0.183	"Lipids and lipid-like molecules"	0.905	"Prenol lipids"	0.883	"Terpene lactones"	0.563	"Sesquiterpene lactones"	0.558	"Sesquiterpene lactones"	0.558	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Ketones; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Gamma butyrolactones; Terpene lactones; Sesquiterpene lactones; Sesquiterpenoids; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	231.138	731	12.189	"673187457655256905"	"673151022235347428"	"1014"	
1	"C15H20O3"	"[M + H]+"	"C15H21O3+"	"Terpenoids"	0.985	"Sesquiterpenoids"	0.836	"Eremophilane sesquiterpenoids"	0.285	"Lipids and lipid-like molecules"	0.664	"Prenol lipids"	0.699	"Sesquiterpenoids"	0.558			"Sesquiterpenoids"	0.558	"Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organooxygen compounds; Sesquiterpenoids; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities"	249.148	731	12.189	"673187474419890297"	"673151022268901865"	"1015"	
1	"C19H28N6O8"	"[M - H2O + H]+"	"C19H27N6O7+"	"Carbohydrates"	0.516	"Pseudoalkaloids (transamidation)"	0.377	"Purine alkaloids"	0.408	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	0.999	"Carbohydrates and carbohydrate conjugates"	0.954	"Monosaccharides"	0.875	"Hexoses"	0.615	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Diazines; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Glycosyl compounds; Glycosylamines; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Amines; Primary amines; Secondary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	451.194	731	12.189	"673187654447810683"	"673151022294067694"	"1016"	
1	"C17H28N6O7"	"[M - H2O + H]+"	"C17H27N6O6+"	"Carbohydrates"	0.807	"Pseudoalkaloids (transamidation)"	0.774	"Purine alkaloids"	0.780	"Organic oxygen compounds"	1.000	"Organooxygen compounds"	0.995	"Carbohydrates and carbohydrate conjugates"	0.933	"Glycosyl compounds"	0.856	"Glycosylamines"	0.713	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Azoles; Monoalkylamines; Aminopyrimidines and derivatives; Diazines; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Oxanes; Glycosyl compounds; Glycosylamines; Polyols; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; 6-aminopurines; 6-alkylaminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	411.200	731	12.189	"673187416244891708"	"673151022210181599"	"1013"	
1	"C11H14O"	"[M - H2O + H]+"	"C11H13+"	"Terpenoids"	0.452	"Sesquiterpenoids"	0.180	"Bisabolane sesquiterpenoids"	0.163	"Benzenoids"	0.964	"Benzene and substituted derivatives"	0.885					"Benzene and substituted derivatives"	0.885	"Organic compounds; Alcohols and polyols; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	145.101	731	12.191	"673187417079558290"	"673151022348593656"	"1018"	
1	"C12H14O2"	"[M - H2O + H]+"	"C12H13O+"	"Terpenoids"	0.774	"Sesquiterpenoids"	0.900	"Bisabolane sesquiterpenoids"	0.472	"Benzenoids"	0.969	"Benzene and substituted derivatives"	0.654					"Benzene and substituted derivatives"	0.654	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	173.096	731	12.191	"673187395852184894"	"673151022377953789"	"1019"	
1	"C12H16O3"	"[M - H2O + H]+"	"C12H15O2+"	"Fatty acids"	0.766	"Octadecanoids"	0.366	"Jasmonic acids"	0.589	"Organic acids and derivatives"	0.812	"Carboxylic acids and derivatives"	0.817	"Carboxylic acids"	0.614			"Carboxylic acids"	0.614	"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	191.107	731	12.191	"673187483064351023"	"673151022407313922"	"1020"	
1	"C15H22O4"	"[M + H]+"	"C15H23O4+"	"Terpenoids"	0.964	"Sesquiterpenoids"	0.896	"Hirsutane sesquiterpenoids"	0.091	"Lipids and lipid-like molecules"	0.528							"Lipids and lipid-like molecules"	0.528	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	267.159	732	12.193	"673187363291801801"	"673151022436674055"	"1021"	
